scanning 11719921 files with 12 workers
  4640000/11719921  28899 files/s
  4650000/11719921  28917 files/s
  4660000/11719921  28934 files/s
  4670000/11719921  28950 files/s
  4680000/11719921  28966 files/s
  4690000/11719921  28921 files/s
  4700000/11719921  28918 files/s
  4710000/11719921  28935 files/s
  4720000/11719921  28950 files/s
  4730000/11719921  28931 files/s
  4740000/11719921  28946 files/s
  4750000/11719921  28961 files/s
  4760000/11719921  28957 files/s
  4770000/11719921  28953 files/s
  4780000/11719921  28920 files/s
  4790000/11719921  28924 files/s
  4800000/11719921  28926 files/s
  4810000/11719921  28929 files/s
  4820000/11719921  28898 files/s
  4830000/11719921  28849 files/s
  4840000/11719921  28848 files/s
  4850000/11719921  28812 files/s
  4860000/11719921  28813 files/s
  4870000/11719921  28816 files/s
  4880000/11719921  28816 files/s
  4890000/11719921  28781 files/s
  4900000/11719921  28784 files/s
  4910000/11719921  28791 files/s
  4920000/11719921  28797 files/s
  4930000/11719921  28769 files/s
  4940000/11719921  28777 files/s
  4950000/11719921  28784 files/s
  4960000/11719921  28779 files/s
  4970000/11719921  28748 files/s
  4980000/11719921  28725 files/s
  4990000/11719921  28731 files/s
  5000000/11719921  28734 files/s
  5010000/11719921  28743 files/s
  5020000/11719921  28726 files/s
  5030000/11719921  28742 files/s
  5040000/11719921  28758 files/s
  5050000/11719921  28773 files/s
  5060000/11719921  28789 files/s
  5070000/11719921  28801 files/s
  5080000/11719921  28761 files/s
  5090000/11719921  28767 files/s
  5100000/11719921  28762 files/s
  5110000/11719921  28762 files/s
  5120000/11719921  28731 files/s
  5130000/11719921  28736 files/s
  5140000/11719921  28684 files/s
  5150000/11719921  28685 files/s
  5160000/11719921  28679 files/s
  5170000/11719921  28647 files/s
  5180000/11719921  28648 files/s
  5190000/11719921  28641 files/s
  5200000/11719921  28644 files/s
  5210000/11719921  28654 files/s
  5220000/11719921  28638 files/s
  5230000/11719921  28654 files/s
  5240000/11719921  28670 files/s
  5250000/11719921  28682 files/s
  5260000/11719921  28698 files/s
  5270000/11719921  28714 files/s
  5280000/11719921  28699 files/s
  5290000/11719921  28715 files/s
  5300000/11719921  28731 files/s
  5310000/11719921  28747 files/s
  5320000/11719921  28760 files/s
  5330000/11719921  28762 files/s
  5340000/11719921  28733 files/s
  5350000/11719921  28735 files/s
  5360000/11719921  28743 files/s
  5370000/11719921  28753 files/s
  5380000/11719921  28714 files/s
  5390000/11719921  28718 files/s
  5400000/11719921  28717 files/s
  5410000/11719921  28728 files/s
  5420000/11719921  28743 files/s
  5430000/11719921  28758 files/s
  5440000/11719921  28740 files/s
  5450000/11719921  28755 files/s
  5460000/11719921  28770 files/s
  5470000/11719921  28785 files/s
  5480000/11719921  28796 files/s
  5490000/11719921  28808 files/s
  5500000/11719921  28822 files/s
  5510000/11719921  28797 files/s
  5520000/11719921  28799 files/s
  5530000/11719921  28789 files/s
  5540000/11719921  28801 files/s
  5550000/11719921  28783 files/s
  5560000/11719921  28797 files/s
  5570000/11719921  28808 files/s
  5580000/11719921  28820 files/s
  5590000/11719921  28827 files/s
  5600000/11719921  28844 files/s
  5610000/11719921  28830 files/s
  5620000/11719921  28846 files/s
  5630000/11719921  28861 files/s
  5640000/11719921  28878 files/s
  5650000/11719921  28894 files/s
  5660000/11719921  28911 files/s
  5670000/11719921  28927 files/s
  5680000/11719921  28943 files/s
  5690000/11719921  28952 files/s
  5700000/11719921  28904 files/s
  5710000/11719921  28861 files/s
  5720000/11719921  28858 files/s
  5730000/11719921  28827 files/s
  5740000/11719921  28824 files/s
  5750000/11719921  28819 files/s
  5760000/11719921  28819 files/s
  5770000/11719921  28822 files/s
  5780000/11719921  28794 files/s
  5790000/11719921  28798 files/s
  5800000/11719921  28802 files/s
  5810000/11719921  28812 files/s
  5820000/11719921  28785 files/s
  5830000/11719921  28794 files/s
  5840000/11719921  28789 files/s
  5850000/11719921  28793 files/s
  5860000/11719921  28757 files/s
  5870000/11719921  28752 files/s
  5880000/11719921  28753 files/s
  5890000/11719921  28767 files/s
  5900000/11719921  28781 files/s
  5910000/11719921  28766 files/s
  5920000/11719921  28780 files/s
  5930000/11719921  28794 files/s
  5940000/11719921  28809 files/s
  5950000/11719921  28824 files/s
  5960000/11719921  28835 files/s
  5970000/11719921  28802 files/s
  5980000/11719921  28803 files/s
  5990000/11719921  28805 files/s
  6000000/11719921  28810 files/s
  6010000/11719921  28783 files/s
  6020000/11719921  28786 files/s
  6030000/11719921  28786 files/s
  6040000/11719921  28755 files/s
  6050000/11719921  28746 files/s
  6060000/11719921  28743 files/s
  6070000/11719921  28743 files/s
  6080000/11719921  28715 files/s
  6090000/11719921  28712 files/s
  6100000/11719921  28713 files/s
  6110000/11719921  28690 files/s
  6120000/11719921  28700 files/s
  6130000/11719921  28709 files/s
  6140000/11719921  28719 files/s
  6150000/11719921  28731 files/s
  6160000/11719921  28739 files/s
  6170000/11719921  28711 files/s
  6180000/11719921  28711 files/s
  6190000/11719921  28710 files/s
  6200000/11719921  28711 files/s
  6210000/11719921  28688 files/s
  6220000/11719921  28694 files/s
  6230000/11719921  28688 files/s
  6240000/11719921  28695 files/s
  6250000/11719921  28702 files/s
  6260000/11719921  28681 files/s
  6270000/11719921  28680 files/s
  6280000/11719921  28682 files/s
  6290000/11719921  28684 files/s
  6300000/11719921  28684 files/s
  6310000/11719921  28656 files/s
  6320000/11719921  28660 files/s
  6330000/11719921  28663 files/s
  6340000/11719921  28664 files/s
  6350000/11719921  28635 files/s
  6360000/11719921  28628 files/s
  6370000/11719921  28633 files/s
  6380000/11719921  28632 files/s
  6390000/11719921  28583 files/s
  6400000/11719921  28582 files/s
  6410000/11719921  28580 files/s
  6420000/11719921  28582 files/s
  6430000/11719921  28554 files/s
  6440000/11719921  28555 files/s
  6450000/11719921  28564 files/s
  6460000/11719921  28546 files/s
  6470000/11719921  28529 files/s
  6480000/11719921  28531 files/s
  6490000/11719921  28507 files/s
  6500000/11719921  28512 files/s
  6510000/11719921  28515 files/s
  6520000/11719921  28519 files/s
  6530000/11719921  28494 files/s
  6540000/11719921  28495 files/s
  6550000/11719921  28498 files/s
  6560000/11719921  28501 files/s
  6570000/11719921  28473 files/s
  6580000/11719921  28473 files/s
  6590000/11719921  28475 files/s
  6600000/11719921  28438 files/s
  6610000/11719921  28439 files/s
  6620000/11719921  28438 files/s
  6630000/11719921  28443 files/s
  6640000/11719921  28421 files/s
  6650000/11719921  28424 files/s
  6660000/11719921  28421 files/s
  6670000/11719921  28425 files/s
  6680000/11719921  28427 files/s
  6690000/11719921  28429 files/s
  6700000/11719921  28407 files/s
  6710000/11719921  28413 files/s
  6720000/11719921  28415 files/s
  6730000/11719921  28414 files/s
  6740000/11719921  28425 files/s
  6750000/11719921  28412 files/s
  6760000/11719921  28425 files/s
  6770000/11719921  28438 files/s
  6780000/11719921  28452 files/s
  6790000/11719921  28465 files/s
  6800000/11719921  28479 files/s
  6810000/11719921  28492 files/s
  6820000/11719921  28491 files/s
  6830000/11719921  28468 files/s
  6840000/11719921  28469 files/s
  6850000/11719921  28476 files/s
  6860000/11719921  28479 files/s
  6870000/11719921  28451 files/s
  6880000/11719921  28451 files/s
  6890000/11719921  28443 files/s
  6900000/11719921  28449 files/s
  6910000/11719921  28428 files/s
  6920000/11719921  28432 files/s
  6930000/11719921  28436 files/s
  6940000/11719921  28439 files/s
  6950000/11719921  28417 files/s
  6960000/11719921  28418 files/s
  6970000/11719921  28419 files/s
  6980000/11719921  28412 files/s
  6990000/11719921  28381 files/s
  7000000/11719921  28384 files/s
  7010000/11719921  28384 files/s
  7020000/11719921  28377 files/s
  7030000/11719921  28386 files/s
